DNI,Nom,Cognoms,Nom complet,Nacimiento España,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Naixement,Edat,Increment
88845881E,Pau,Martínez López,Pau Martínez López,Sí,Espanya,Madrid,3,11,2000,Home,3007.8,Sí,Grup D,2000-11-03,25,0.08
73128127J,Arnau,Castells Sánchez,Arnau Castells Sánchez,Sí,Espanya,València,17,4,1998,Home,3014.28,No,Grup D,1998-04-17,28,0.08
91487269P,Maria,Silva Oliveira,Maria Silva Oliveira,No,Portugal,Lisboa,4,9,1993,,3125.52,No,Grup D,1993-09-04,32,0.08
94898766F,Joan,Romero,Joan Romero,Sí,Espanya,Barcelona,26,4,1969,Altres,3429.0,No,Grup D,1969-04-26,57,0.08
87813160D,Arnau,Ferrer,Arnau Ferrer,Sí,Espanya,València,24,3,1990,Altres,2813.4,Sí,Grup D,1990-03-24,36,0.08
81992107P,María,Cruz,María Cruz,No,Mèxic,Ciutat de Mèxic,14,3,1958,Dona,2865.24,Sí,Grup D,1958-03-14,68,0.08
86419307C,Eva,Castells Romero,Eva Castells Romero,Sí,Espanya,Bilbao,25,7,1988,Dona,2627.64,Sí,Grup D,1988-07-25,37,0.08
94076717B,Marc,López,Marc López,Sí,Espanya,Sevilla,8,2,1987,,3206.52,No,Grup D,1987-02-08,39,0.08
63108914N,Joan,Martínez Sánchez,Joan Martínez Sánchez,Sí,Espanya,València,18,2,1986,Home,3583.44,Sí,Grup D,1986-02-18,40,0.08
19631537S,Laia,Ferrer,Laia Ferrer,Sí,Espanya,Barcelona,21,12,1987,Dona,3051.0,Sí,Grup D,1987-12-21,38,0.08
10624826J,Laia,Sánchez López,Laia Sánchez López,Sí,Espanya,Bilbao,5,8,1972,Dona,3201.12,No,Grup D,1972-08-05,53,0.08
31274825R,Clara,García Martínez,Clara García Martínez,Sí,Espanya,Sevilla,2,9,1986,Dona,2587.68,No,Grup D,1986-09-02,39,0.08
19356603P,Marta,Castells,Marta Castells,Sí,Espanya,Barcelona,2,10,2003,Dona,2897.64,No,Grup D,2003-10-02,22,0.08
19313369G,Florencia,Rodríguez Álvarez,Florencia Rodríguez Álvarez,No,Argentina,Còrdova,27,11,1999,Dona,3255.12,No,Grup D,1999-11-27,26,0.08
26634596X,Laura,Schneider Müller,Laura Schneider Müller,No,Alemanya,Munic,28,11,1990,Dona,3000.24,No,Grup D,1990-11-28,35,0.08
53672811D,Carla,Sánchez,Carla Sánchez,Sí,Espanya,València,6,3,1957,Dona,3187.08,Sí,Grup D,1957-03-06,69,0.08
30289780L,Clara,López,Clara López,Sí,Espanya,València,17,2,1951,Dona,3150.36,Sí,Grup D,1951-02-17,75,0.08
67448348B,Pau,García Romero,Pau García Romero,Sí,Espanya,Madrid,27,12,1983,Home,3046.68,No,Grup D,1983-12-27,42,0.08
46470158A,Arnau,Romero,Arnau Romero,Sí,Espanya,Bilbao,26,6,1951,Home,3595.32,Sí,Grup D,1951-06-26,75,0.08
68247465J,Joan,Martínez Romero,Joan Martínez Romero,Sí,Espanya,Sevilla,4,7,1971,Home,3213.0,No,Grup D,1971-07-04,55,0.08
26689120S,Clara,Romero,Clara Romero,Sí,Espanya,València,4,1,1974,Dona,3262.68,Sí,Grup D,1974-01-04,52,0.08
29203160E,Arnau,López Martínez,Arnau López Martínez,Sí,Espanya,València,24,1,1970,Home,3513.24,Sí,Grup D,1970-01-24,56,0.08
44060014R,Jonas,Schneider,Jonas Schneider,No,Alemanya,Berlín,22,11,1985,Home,2974.32,Sí,Grup D,1985-11-22,40,0.08
12868239Z,Toni,López,Toni López,Sí,Espanya,Sevilla,10,3,1989,Home,3112.56,No,Grup D,1989-03-10,37,0.08
65535145H,Pau,Castells,Pau Castells,Sí,Espanya,Bilbao,20,7,1953,Home,3188.16,No,Grup D,1953-07-20,72,0.08
33366982Q,Pau,García,Pau García,Sí,Espanya,Madrid,11,3,1976,,3142.8,No,Grup D,1976-03-11,50,0.08
13080692S,Eva,Ferrer Romero,Eva Ferrer Romero,Sí,Espanya,Barcelona,1,11,2005,Dona,3130.92,No,Grup D,2005-11-01,20,0.08
14345055N,Michel,Girard Dubois,Michel Girard Dubois,No,França,París,9,8,1970,Home,3210.84,No,Grup D,1970-08-09,55,0.08
96810023K,Jordi,López,Jordi López,Sí,Espanya,Madrid,25,6,1995,Home,3518.64,No,Grup D,1995-06-25,31,0.08
87285985P,Clara,Sánchez,Clara Sánchez,Sí,Espanya,Madrid,1,10,2002,Altres,3393.36,Sí,Grup D,2002-10-01,23,0.08
23290905N,Laia,López Castells,Laia López Castells,Sí,Espanya,Madrid,13,8,1971,,2824.2,Sí,Grup D,1971-08-13,54,0.08
30561064P,Oriol,López Castells,Oriol López Castells,Sí,Espanya,Madrid,14,4,1987,Home,3624.48,No,Grup D,1987-04-14,39,0.08
68512981B,Leon,Schneider Schneider,Leon Schneider Schneider,No,Alemanya,Hamburg,16,10,1977,Home,3222.72,No,Grup D,1977-10-16,48,0.08
70201568H,Joan,Martínez Ferrer,Joan Martínez Ferrer,Sí,Espanya,València,12,3,1964,Home,3137.4,No,Grup D,1964-03-12,62,0.08
28237150F,Giovanni,Rossi Russo,Giovanni Rossi Russo,No,Itàlia,Torí,10,12,2000,Home,3093.12,Sí,Grup D,2000-12-10,25,0.08
60305889V,Oriol,Ferrer,Oriol Ferrer,Sí,Espanya,Madrid,12,3,1995,Home,3517.56,Sí,Grup D,1995-03-12,31,0.08
25997800F,Beatriz,Ferreira Pereira,Beatriz Ferreira Pereira,No,Portugal,Lisboa,25,10,2004,Dona,2566.08,Sí,Grup D,2004-10-25,21,0.08
49712589T,Marta,López,Marta López,Sí,Espanya,Madrid,9,7,2004,Dona,2986.2,No,Grup D,2004-07-09,21,0.08
68438696L,Clara,López Castells,Clara López Castells,Sí,Espanya,València,9,4,1982,Dona,3242.16,No,Grup D,1982-04-09,44,0.08
96650060J,Anna,Sánchez Castells,Anna Sánchez Castells,Sí,Espanya,Sevilla,1,2,1960,Dona,2840.4,No,Grup D,1960-02-01,66,0.08
