DNI,Nom,Cognoms,Nom complet,Nacimiento España,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Naixement,Edat,Increment
80887497Q,Toni,Ferrer,Toni Ferrer,Sí,Espanya,Barcelona,12,4,1985,Home,2691.78,No,Grup C,1985-04-12,41,0.02
85738042R,Toni,García,Toni García,Sí,Espanya,Bilbao,28,10,1998,Home,2768.28,Sí,Grup C,1998-10-28,27,0.02
98761038G,Olivia,Jones Brown,Olivia Jones Brown,No,Regne Unit,Londres,20,1,1965,Altres,2509.2,Sí,Grup C,1965-01-20,61,0.02
60585845J,Arnau,Castells Castells,Arnau Castells Castells,Sí,Espanya,Madrid,7,11,1963,Home,2200.14,No,Grup C,1963-11-07,62,0.02
98253101W,Arnau,Romero,Arnau Romero,Sí,Espanya,Madrid,26,6,1985,Home,2790.72,No,Grup C,1985-06-26,41,0.02
22972474K,Marta,Romero,Marta Romero,Sí,Espanya,València,3,12,1958,Dona,1562.64,No,Grup C,1958-12-03,67,0.02
58619725P,Valentina,Castro,Valentina Castro,No,Colòmbia,Bogotà,2,9,1951,Dona,2648.94,Sí,Grup C,1951-09-02,74,0.02
25710763B,Eva,Castells García,Eva Castells García,Sí,Espanya,Bilbao,18,3,1993,Dona,2680.56,No,Grup C,1993-03-18,33,0.02
76564295Y,Clara,Romero,Clara Romero,Sí,Espanya,Madrid,5,12,1986,Dona,2593.86,No,Grup C,1986-12-05,39,0.02
32044922L,Gabriela,Ramírez González,Gabriela Ramírez González,No,Mèxic,Ciutat de Mèxic,7,5,1980,Dona,2403.12,No,Grup C,1980-05-07,46,0.02
12499600L,Pau,Ferrer López,Pau Ferrer López,Sí,Espanya,Bilbao,22,11,1960,Home,2621.4,Sí,Grup C,1960-11-22,65,0.02
13453262F,Clara,Martínez,Clara Martínez,Sí,Espanya,Sevilla,4,7,2001,Dona,2576.52,Sí,Grup C,2001-07-04,24,0.02
96105165A,Marta,Martínez Castells,Marta Martínez Castells,Sí,Espanya,Barcelona,16,7,1977,Dona,2501.04,Sí,Grup C,1977-07-16,48,0.02
85141625T,Clara,Ferrer,Clara Ferrer,Sí,Espanya,Sevilla,21,12,1999,Altres,2440.86,Sí,Grup C,1999-12-21,26,0.02
46969469J,Marc,Romero Romero,Marc Romero Romero,Sí,Espanya,Bilbao,8,8,1959,Home,2223.6,Sí,Grup C,1959-08-08,66,0.02
86767469V,Eva,García Martínez,Eva García Martínez,Sí,Espanya,Madrid,10,7,1965,Dona,2033.88,Sí,Grup C,1965-07-10,61,0.02
33077646V,Eva,Martínez,Eva Martínez,Sí,Espanya,Sevilla,18,3,1986,Dona,1836.0,No,Grup C,1986-03-18,40,0.02
56070621Z,Marc,Castells,Marc Castells,Sí,Espanya,Madrid,28,11,1976,Home,2261.34,No,Grup C,1976-11-28,49,0.02
42831725E,Arnau,Sánchez,Arnau Sánchez,Sí,Espanya,Sevilla,13,11,1967,Home,2110.38,No,Grup C,1967-11-13,58,0.02
43764388P,Clara,Castells Castells,Clara Castells Castells,Sí,Espanya,València,15,8,1962,Dona,2372.52,Sí,Grup C,1962-08-15,63,0.02
59715366K,Oriol,Romero Sánchez,Oriol Romero Sánchez,Sí,Espanya,Bilbao,6,2,1997,Home,2843.76,Sí,Grup C,1997-02-06,29,0.02
73661586C,Carla,Ferrer,Carla Ferrer,Sí,Espanya,Sevilla,11,9,1955,Dona,2101.2,Sí,Grup C,1955-09-11,70,0.02
78532778V,Élise,Lefevre,Élise Lefevre,No,França,París,7,11,1972,Dona,1729.92,Sí,Grup C,1972-11-07,53,0.02
93040786Z,Élise,Dubois,Élise Dubois,No,França,Lió,4,12,1950,Dona,1907.4,No,Grup C,1950-12-04,75,0.02
93244065C,Jordi,García Romero,Jordi García Romero,Sí,Espanya,Barcelona,28,5,1952,Home,2597.94,Sí,Grup C,1952-05-28,74,0.02
25654945Y,Andrés,Rojas Castro,Andrés Rojas Castro,No,Colòmbia,Medellín,20,9,1974,Home,2444.94,No,Grup C,1974-09-20,51,0.02
65882859J,Arnau,Martínez,Arnau Martínez,Sí,Espanya,Sevilla,3,6,1962,Home,1880.88,Sí,Grup C,1962-06-03,64,0.02
98830242H,Carla,Sánchez,Carla Sánchez,Sí,Espanya,Sevilla,2,1,1952,Dona,1821.72,No,Grup C,1952-01-02,74,0.02
37195438N,Carla,Romero,Carla Romero,Sí,Espanya,Madrid,8,11,1991,Dona,2567.34,Sí,Grup C,1991-11-08,34,0.02
26427399L,Pau,Castells,Pau Castells,Sí,Espanya,Barcelona,22,1,1986,Home,2252.16,No,Grup C,1986-01-22,40,0.02
53518484J,Joan,Martínez,Joan Martínez,Sí,Espanya,Barcelona,14,9,1999,Home,2779.5,No,Grup C,1999-09-14,26,0.02
82052269P,Eva,Romero Romero,Eva Romero Romero,Sí,Espanya,Sevilla,26,2,1954,Dona,1766.64,No,Grup C,1954-02-26,72,0.02
17966918Y,Arnau,Ferrer Sánchez,Arnau Ferrer Sánchez,Sí,Espanya,Madrid,17,7,1964,Home,2357.22,No,Grup C,1964-07-17,61,0.02
75892043S,Sara,Gutiérrez,Sara Gutiérrez,No,Colòmbia,Bogotà,12,6,1954,Dona,2709.12,Sí,Grup C,1954-06-12,72,0.02
89805468T,Marc,García Ferrer,Marc García Ferrer,Sí,Espanya,València,21,5,1968,Home,2185.86,Sí,Grup C,1968-05-21,58,0.02
67320503B,Toni,López,Toni López,Sí,Espanya,Bilbao,26,1,1998,Home,1899.24,No,Grup C,1998-01-26,28,0.02
27295557B,Laia,García García,Laia García García,Sí,Espanya,Madrid,8,12,1972,Dona,2269.5,Sí,Grup C,1972-12-08,53,0.02
59487847J,Carla,Sánchez Romero,Carla Sánchez Romero,Sí,Espanya,València,17,10,1959,Dona,2453.1,Sí,Grup C,1959-10-17,66,0.02
83274277X,Anna,Müller,Anna Müller,No,Alemanya,Hamburg,1,1,1987,Dona,2513.28,No,Grup C,1987-01-01,39,0.02
59909991M,Núria,Martínez,Núria Martínez,Sí,Espanya,Barcelona,19,6,1981,Dona,1977.78,No,Grup C,1981-06-19,45,0.02
55213721K,Joan,López Ferrer,Joan López Ferrer,Sí,Espanya,Barcelona,21,6,1951,Home,2844.78,No,Grup C,1951-06-21,75,0.02
17523109M,Daniel,Gutiérrez Castro,Daniel Gutiérrez Castro,No,Colòmbia,Bogotà,8,7,1951,Home,2694.84,No,Grup C,1951-07-08,75,0.02
58817861M,Isla,Brown Jones,Isla Brown Jones,No,Regne Unit,Londres,5,3,1954,Altres,2325.6,Sí,Grup C,1954-03-05,72,0.02
60161784X,Laura,Schmidt Müller,Laura Schmidt Müller,No,Alemanya,Hamburg,15,6,1987,,2075.7,Sí,Grup C,1987-06-15,39,0.02
34121407E,Arnau,López Sánchez,Arnau López Sánchez,Sí,Espanya,Barcelona,22,5,1951,Home,1723.8,Sí,Grup C,1951-05-22,75,0.02
66268793B,Oriol,Castells,Oriol Castells,Sí,Espanya,Barcelona,8,7,1950,Home,2835.6,Sí,Grup C,1950-07-08,76,0.02
18736805D,Laia,Romero,Laia Romero,Sí,Espanya,Barcelona,17,4,1962,Dona,1796.22,No,Grup C,1962-04-17,64,0.02
28923859R,Eva,Sánchez Castells,Eva Sánchez Castells,Sí,Espanya,Bilbao,23,9,1987,Dona,2668.32,Sí,Grup C,1987-09-23,38,0.02
35978728B,Jordi,García García,Jordi García García,Sí,Espanya,València,18,6,1967,Home,2438.82,Sí,Grup C,1967-06-18,59,0.02
59804478P,Núria,Martínez Ferrer,Núria Martínez Ferrer,Sí,Espanya,Bilbao,27,3,1965,Dona,2338.86,No,Grup C,1965-03-27,61,0.02
52501105S,Marc,Castells,Marc Castells,Sí,Espanya,Bilbao,11,9,1984,Home,1880.88,No,Grup C,1984-09-11,41,0.02
75949005H,María,Cruz,María Cruz,No,Mèxic,Guadalajara,27,1,1963,Dona,2461.26,No,Grup C,1963-01-27,63,0.02
72374089J,Joan,Martínez Romero,Joan Martínez Romero,Sí,Espanya,Sevilla,20,4,1994,,1871.7,No,Grup C,1994-04-20,32,0.02
30932082P,Marta,López,Marta López,Sí,Espanya,Bilbao,2,9,1954,Altres,1960.44,Sí,Grup C,1954-09-02,71,0.02
82680101W,Marc,Romero Ferrer,Marc Romero Ferrer,Sí,Espanya,València,22,9,1993,Home,1777.86,Sí,Grup C,1993-09-22,32,0.02
53071392K,Oriol,Martínez,Oriol Martínez,Sí,Espanya,Barcelona,9,7,2002,Home,2059.38,Sí,Grup C,2002-07-09,23,0.02
58004635G,Marc,Martínez Sánchez,Marc Martínez Sánchez,Sí,Espanya,Bilbao,21,12,1965,Home,2291.94,Sí,Grup C,1965-12-21,60,0.02
84495908R,Toni,Sánchez Romero,Toni Sánchez Romero,Sí,Espanya,Bilbao,18,12,1952,Home,2074.68,No,Grup C,1952-12-18,73,0.02
41260739H,Anna,Ferrer,Anna Ferrer,Sí,Espanya,Sevilla,25,5,2000,Dona,2207.28,No,Grup C,2000-05-25,26,0.02
35577350W,Juan,Gómez Gómez,Juan Gómez Gómez,No,Argentina,Còrdova,9,10,1994,Home,1718.7,Sí,Grup C,1994-10-09,31,0.02
44346665J,Laia,Romero Martínez,Laia Romero Martínez,Sí,Espanya,València,18,7,1963,Altres,2089.98,No,Grup C,1963-07-18,62,0.02
76029605D,Carla,Ferrer García,Carla Ferrer García,Sí,Espanya,València,25,2,1970,Dona,2564.28,No,Grup C,1970-02-25,56,0.02
15664344B,Pau,García,Pau García,Sí,Espanya,València,1,3,2000,Home,2437.8,No,Grup C,2000-03-01,26,0.02
49180523M,Oriol,López Martínez,Oriol López Martínez,Sí,Espanya,Madrid,17,3,1978,Home,2328.66,Sí,Grup C,1978-03-17,48,0.02
96612764F,Isla,Smith Brown,Isla Smith Brown,No,Regne Unit,Londres,24,9,1991,Dona,2212.38,Sí,Grup C,1991-09-24,34,0.02
15895974X,Núria,Ferrer,Núria Ferrer,Sí,Espanya,Barcelona,10,4,1957,Dona,2413.32,No,Grup C,1957-04-10,69,0.02
54990944C,Laia,Sánchez Romero,Laia Sánchez Romero,Sí,Espanya,Bilbao,4,12,1960,Dona,2101.2,Sí,Grup C,1960-12-04,65,0.02
18647358J,Maria,Silva,Maria Silva,No,Portugal,Porto,14,12,1991,Altres,2507.16,No,Grup C,1991-12-14,34,0.02
80122915D,Jordi,Romero García,Jordi Romero García,Sí,Espanya,Bilbao,5,12,1978,Home,1986.96,Sí,Grup C,1978-12-05,47,0.02
68222849D,Marta,López,Marta López,Sí,Espanya,València,4,11,1971,Dona,2398.02,Sí,Grup C,1971-11-04,54,0.02
29661736H,Marta,López,Marta López,Sí,Espanya,Madrid,16,7,2001,Dona,2002.26,Sí,Grup C,2001-07-16,24,0.02
11962486C,Oriol,Sánchez,Oriol Sánchez,Sí,Espanya,Sevilla,27,2,1958,Home,2589.78,No,Grup C,1958-02-27,68,0.02
63666276G,Joan,Romero,Joan Romero,Sí,Espanya,Sevilla,10,11,1952,Home,1942.08,No,Grup C,1952-11-10,73,0.02
80745485X,Pau,Sánchez Martínez,Pau Sánchez Martínez,Sí,Espanya,Madrid,2,3,1981,Home,2560.2,Sí,Grup C,1981-03-02,45,0.02
81908160Z,Toni,Martínez,Toni Martínez,Sí,Espanya,València,13,7,1978,Home,1966.56,Sí,Grup C,1978-07-13,47,0.02
22768293W,Jordi,López,Jordi López,Sí,Espanya,Madrid,27,4,1996,Home,2899.86,Sí,Grup C,1996-04-27,30,0.02
36744704Y,Carla,López López,Carla López López,Sí,Espanya,València,9,10,1970,Dona,2245.02,No,Grup C,1970-10-09,55,0.02
75528612H,Núria,Martínez Sánchez,Núria Martínez Sánchez,Sí,Espanya,Barcelona,23,7,1999,Dona,2228.7,Sí,Grup C,1999-07-23,26,0.02
65854367Q,Toni,López García,Toni López García,Sí,Espanya,Bilbao,23,2,1976,Home,2534.7,No,Grup C,1976-02-23,50,0.02
47126739B,Carla,Ferrer,Carla Ferrer,Sí,Espanya,Barcelona,17,12,1963,Dona,1966.56,Sí,Grup C,1963-12-17,62,0.02
29356893J,Jordi,García,Jordi García,Sí,Espanya,Sevilla,13,6,1987,Home,2784.6,Sí,Grup C,1987-06-13,39,0.02
76315436N,Joan,Martínez,Joan Martínez,Sí,Espanya,Sevilla,26,5,1976,Home,2873.34,No,Grup C,1976-05-26,50,0.02
87416108F,Marta,Martínez Romero,Marta Martínez Romero,Sí,Espanya,Sevilla,7,9,1955,Dona,2001.24,No,Grup C,1955-09-07,70,0.02
99057187Q,Joan,Ferrer García,Joan Ferrer García,Sí,Espanya,Bilbao,5,5,1995,Home,2913.12,Sí,Grup C,1995-05-05,31,0.02
39025961G,Pau,Sánchez,Pau Sánchez,Sí,Espanya,Sevilla,20,10,1953,Home,2820.3,No,Grup C,1953-10-20,72,0.02
36305607S,Jordi,Sánchez,Jordi Sánchez,Sí,Espanya,Barcelona,1,3,1976,Home,1796.22,No,Grup C,1976-03-01,50,0.02
20752389X,Eva,Romero,Eva Romero,Sí,Espanya,Sevilla,16,11,1964,,1999.2,No,Grup C,1964-11-16,61,0.02
78312427G,Toni,Romero Ferrer,Toni Romero Ferrer,Sí,Espanya,Bilbao,13,12,1970,Home,2392.92,No,Grup C,1970-12-13,55,0.02
62062006Z,Jordi,Romero,Jordi Romero,Sí,Espanya,València,1,1,1973,Home,2352.12,No,Grup C,1973-01-01,53,0.02
56029646T,Camille,Girard Lefevre,Camille Girard Lefevre,No,França,Marsella,7,12,2003,Dona,2495.94,Sí,Grup C,2003-12-07,22,0.02
90082879P,Jordi,Martínez Sánchez,Jordi Martínez Sánchez,Sí,Espanya,Barcelona,12,12,1970,Home,2715.24,Sí,Grup C,1970-12-12,55,0.02
59664001Z,Arnau,Martínez López,Arnau Martínez López,Sí,Espanya,Barcelona,5,9,1979,Home,2339.88,No,Grup C,1979-09-05,46,0.02
25380605S,Luisa,Ramírez,Luisa Ramírez,No,Mèxic,Guadalajara,8,6,1984,Dona,1897.2,No,Grup C,1984-06-08,42,0.02
43195593E,Daniela,Castro,Daniela Castro,No,Colòmbia,Bogotà,5,2,1954,Dona,2070.6,Sí,Grup C,1954-02-05,72,0.02
45323039E,Andrés,Gutiérrez Rojas,Andrés Gutiérrez Rojas,No,Colòmbia,Bogotà,18,3,1986,Home,2738.7,No,Grup C,1986-03-18,40,0.02
63445794B,Oriol,Romero Romero,Oriol Romero Romero,Sí,Espanya,Sevilla,11,7,1964,Altres,1989.0,No,Grup C,1964-07-11,62,0.02
92210964M,Camila,Hernández,Camila Hernández,No,Mèxic,Guadalajara,26,9,1978,Dona,2340.9,Sí,Grup C,1978-09-26,47,0.02
66120457F,Núria,Sánchez Romero,Núria Sánchez Romero,Sí,Espanya,Sevilla,9,1,1974,Dona,1939.02,No,Grup C,1974-01-09,52,0.02
19304110P,Arnau,García Romero,Arnau García Romero,Sí,Espanya,Madrid,13,12,1970,Home,2362.32,No,Grup C,1970-12-13,55,0.02
55178117L,Marc,García Castells,Marc García Castells,Sí,Espanya,València,20,12,1983,Home,2970.24,Sí,Grup C,1983-12-20,42,0.02
23895788L,Marc,Castells,Marc Castells,Sí,Espanya,Madrid,3,8,1978,Home,1778.88,No,Grup C,1978-08-03,47,0.02
95216936L,Jordi,Castells,Jordi Castells,Sí,Espanya,Sevilla,14,12,1986,Altres,2304.18,Sí,Grup C,1986-12-14,39,0.02
80698214F,Joan,Romero,Joan Romero,Sí,Espanya,Barcelona,8,1,1985,Home,2437.8,No,Grup C,1985-01-08,41,0.02
96250825S,Jordi,Castells López,Jordi Castells López,Sí,Espanya,Bilbao,12,2,1961,Home,2407.2,Sí,Grup C,1961-02-12,65,0.02
74953524F,Sophie,Brown,Sophie Brown,No,Regne Unit,Londres,17,5,1983,Dona,2232.78,Sí,Grup C,1983-05-17,43,0.02
59717596Z,Camila,Cruz Ramírez,Camila Cruz Ramírez,No,Mèxic,Guadalajara,4,10,1994,Dona,1860.48,Sí,Grup C,1994-10-04,31,0.02
37902729B,Joan,Romero García,Joan Romero García,Sí,Espanya,Bilbao,25,1,1954,Home,2056.32,No,Grup C,1954-01-25,72,0.02
96487370W,Marc,Castells,Marc Castells,Sí,Espanya,Barcelona,15,6,1952,Home,2659.14,Sí,Grup C,1952-06-15,74,0.02
42807414J,Laia,Sánchez,Laia Sánchez,Sí,Espanya,València,17,7,1967,Dona,2300.1,No,Grup C,1967-07-17,58,0.02
61558898W,Anna,Fischer,Anna Fischer,No,Alemanya,Hamburg,14,5,1985,Dona,2491.86,Sí,Grup C,1985-05-14,41,0.02
22381649M,Inês,Silva,Inês Silva,No,Portugal,Lisboa,28,2,1980,Dona,1589.16,Sí,Grup C,1980-02-28,46,0.02
93349542M,Marc,Sánchez García,Marc Sánchez García,Sí,Espanya,Sevilla,4,3,1974,Altres,1643.22,Sí,Grup C,1974-03-04,52,0.02
88420532P,Rui,Oliveira,Rui Oliveira,No,Portugal,Lisboa,9,3,1951,Home,1931.88,No,Grup C,1951-03-09,75,0.02
77573960D,Laia,Romero López,Laia Romero López,Sí,Espanya,Sevilla,23,6,2005,Dona,2407.2,No,Grup C,2005-06-23,21,0.02
94364172S,Andrés,Hernández Hernández,Andrés Hernández Hernández,No,Mèxic,Ciutat de Mèxic,11,12,1983,Home,2215.44,No,Grup C,1983-12-11,42,0.02
90836935Y,Élise,Moreau,Élise Moreau,No,França,París,9,10,1959,Dona,2149.14,Sí,Grup C,1959-10-09,66,0.02
25564518R,Joan,López García,Joan López García,Sí,Espanya,Bilbao,21,11,1987,Home,2681.58,No,Grup C,1987-11-21,38,0.02
88633819Y,Clara,Romero López,Clara Romero López,Sí,Espanya,Bilbao,11,1,1955,Altres,2418.42,Sí,Grup C,1955-01-11,71,0.02
92573413K,Toni,Castells,Toni Castells,Sí,Espanya,Barcelona,20,10,1984,Home,1868.64,No,Grup C,1984-10-20,41,0.02
96890044J,Felix,Schmidt Schmidt,Felix Schmidt Schmidt,No,Alemanya,Hamburg,20,10,1951,Home,2010.42,No,Grup C,1951-10-20,74,0.02
82947791W,Jordi,García,Jordi García,Sí,Espanya,Barcelona,23,5,1984,Home,1732.98,Sí,Grup C,1984-05-23,42,0.02
