DNI,Nom,Cognoms,Nom complet,Nacimiento España,País d'origen,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,Grup Professional,Naixement,Edat,Increment
90731738C,Pau,Martínez,Pau Martínez,Sí,Espanya,Madrid,17,8,1999,Home,2039.9850000000001,No,Grup B,1999-08-17,26,0.035
45888164B,Giulia,Conti,Giulia Conti,No,Itàlia,Roma,8,7,1998,Dona,2036.88,Sí,Grup B,1998-07-08,27,0.035
89187959Z,Anna,Sánchez,Anna Sánchez,Sí,Espanya,Sevilla,21,10,1955,Dona,1349.64,No,Grup B,1955-10-21,70,0.035
17851044J,Pau,Ferrer,Pau Ferrer,Sí,Espanya,Bilbao,25,4,1957,Home,1365.165,Sí,Grup B,1957-04-25,69,0.035
16587202X,Eva,López,Eva López,Sí,Espanya,Bilbao,16,12,1974,Dona,2031.705,No,Grup B,1974-12-16,51,0.035
43485739Q,Andrés,González,Andrés González,No,Mèxic,Guadalajara,26,2,1992,Home,2358.765,Sí,Grup B,1992-02-26,34,0.035
32384138R,Clara,Sánchez López,Clara Sánchez López,Sí,Espanya,València,27,7,1955,Dona,2083.455,Sí,Grup B,1955-07-27,70,0.035
27772301M,Anna,Castells Romero,Anna Castells Romero,Sí,Espanya,València,25,8,1978,Dona,1730.52,No,Grup B,1978-08-25,47,0.035
44988676P,Eva,Sánchez,Eva Sánchez,Sí,Espanya,Bilbao,10,1,1977,Dona,1953.045,No,Grup B,1977-01-10,49,0.035
58904747N,Joan,Ferrer,Joan Ferrer,Sí,Espanya,Bilbao,13,11,1994,Home,1574.235,No,Grup B,1994-11-13,31,0.035
63852668M,Anna,Sánchez García,Anna Sánchez García,Sí,Espanya,Sevilla,13,7,1993,Dona,1502.82,No,Grup B,1993-07-13,32,0.035
57230838V,Khadija,Fassi,Khadija Fassi,No,Marroc,Rabat,10,5,1970,Dona,1471.77,No,Grup B,1970-05-10,56,0.035
23876940J,Marta,Romero,Marta Romero,Sí,Espanya,València,25,11,2002,Dona,1302.03,No,Grup B,2002-11-25,23,0.035
45581974X,Núria,Romero,Núria Romero,Sí,Espanya,Madrid,26,10,1993,Dona,1399.32,Sí,Grup B,1993-10-26,32,0.035
91110497A,Arnau,García,Arnau García,Sí,Espanya,València,2,1,1954,Home,2200.41,No,Grup B,1954-01-02,72,0.035
90181637T,Núria,López,Núria López,Sí,Espanya,Bilbao,1,1,1973,Dona,1725.345,Sí,Grup B,1973-01-01,53,0.035
82953871E,Toni,Castells,Toni Castells,Sí,Espanya,València,1,4,1963,Home,1825.74,Sí,Grup B,1963-04-01,63,0.035
57340670Z,Gabriela,González,Gabriela González,No,Mèxic,Ciutat de Mèxic,17,6,1955,Dona,1668.42,Sí,Grup B,1955-06-17,71,0.035
21762997G,Pau,Sánchez,Pau Sánchez,Sí,Espanya,Barcelona,13,3,1962,Home,1524.555,No,Grup B,1962-03-13,64,0.035
53012171X,Laia,Sánchez Castells,Laia Sánchez Castells,Sí,Espanya,Barcelona,21,11,1970,Dona,2128.995,Sí,Grup B,1970-11-21,55,0.035
41156735G,Toni,Castells,Toni Castells,Sí,Espanya,Bilbao,7,6,1990,Home,1732.59,No,Grup B,1990-06-07,36,0.035
12234836K,Chloé,Girard,Chloé Girard,No,França,Marsella,17,4,1977,Dona,2054.475,Sí,Grup B,1977-04-17,49,0.035
99521295N,Anna,Castells Martínez,Anna Castells Martínez,Sí,Espanya,València,3,4,1991,Dona,1463.49,No,Grup B,1991-04-03,35,0.035
37399141L,Laura,Schneider Fischer,Laura Schneider Fischer,No,Alemanya,Berlín,2,2,1958,Dona,1830.915,Sí,Grup B,1958-02-02,68,0.035
15110846Z,Oriol,López,Oriol López,Sí,Espanya,València,27,6,2002,Home,1353.78,No,Grup B,2002-06-27,24,0.035
83165476Y,Núria,García Ferrer,Núria García Ferrer,Sí,Espanya,Sevilla,17,6,1957,Altres,1283.4,No,Grup B,1957-06-17,69,0.035
28967396E,Daniel,Gutiérrez Castro,Daniel Gutiérrez Castro,No,Colòmbia,Medellín,4,5,1976,Home,1506.96,No,Grup B,1976-05-04,50,0.035
47304350Y,Jordi,Ferrer,Jordi Ferrer,Sí,Espanya,València,21,6,1967,Home,1376.55,Sí,Grup B,1967-06-21,59,0.035
54585678Q,Pau,López Martínez,Pau López Martínez,Sí,Espanya,Bilbao,22,5,1967,Home,2199.375,Sí,Grup B,1967-05-22,59,0.035
42625930X,Joan,Romero,Joan Romero,Sí,Espanya,Bilbao,15,11,1987,Home,1581.48,No,Grup B,1987-11-15,38,0.035
44075059L,Oriol,Sánchez Sánchez,Oriol Sánchez Sánchez,Sí,Espanya,Bilbao,17,3,2002,Home,1878.525,Sí,Grup B,2002-03-17,24,0.035
24435321M,Marta,Castells Ferrer,Marta Castells Ferrer,Sí,Espanya,Sevilla,15,3,1981,Dona,1937.52,Sí,Grup B,1981-03-15,45,0.035
68455541R,Sofia,Oliveira,Sofia Oliveira,No,Portugal,Porto,5,7,1952,Dona,1462.455,No,Grup B,1952-07-05,74,0.035
12763903J,Eva,Martínez,Eva Martínez,Sí,Espanya,Madrid,19,10,1974,,2085.525,No,Grup B,1974-10-19,51,0.035
87744901Q,Toni,García,Toni García,Sí,Espanya,Bilbao,20,9,1990,Home,1757.43,No,Grup B,1990-09-20,35,0.035
28996393T,Oriol,Sánchez Martínez,Oriol Sánchez Martínez,Sí,Espanya,Sevilla,5,1,1981,Home,2008.935,No,Grup B,1981-01-05,45,0.035
55395479J,Anna,Ferrer,Anna Ferrer,Sí,Espanya,València,6,10,1984,Dona,1584.585,Sí,Grup B,1984-10-06,41,0.035
33939128K,Matías,Gómez Gómez,Matías Gómez Gómez,No,Argentina,Còrdova,18,8,2002,Home,2152.8,Sí,Grup B,2002-08-18,23,0.035
28394981G,Jean,Girard Moreau,Jean Girard Moreau,No,França,París,26,9,1991,,1628.055,Sí,Grup B,1991-09-26,34,0.035
83703395A,Pau,Martínez,Pau Martínez,Sí,Espanya,Madrid,14,2,1959,Home,2173.5,No,Grup B,1959-02-14,67,0.035
73749390X,Eva,Romero Ferrer,Eva Romero Ferrer,Sí,Espanya,València,7,12,1965,Dona,1926.135,No,Grup B,1965-12-07,60,0.035
42823610D,Eva,Castells,Eva Castells,Sí,Espanya,Madrid,9,7,1956,Dona,1727.415,Sí,Grup B,1956-07-09,70,0.035
75141877A,Fatima,Fassi,Fatima Fassi,No,Marroc,Casablanca,18,3,1958,Dona,1194.39,No,Grup B,1958-03-18,68,0.035
43586389Z,Jordi,Ferrer,Jordi Ferrer,Sí,Espanya,Sevilla,15,2,1958,Home,1859.895,No,Grup B,1958-02-15,68,0.035
98144857C,Arnau,Sánchez,Arnau Sánchez,Sí,Espanya,Sevilla,21,10,1990,Home,2224.215,No,Grup B,1990-10-21,35,0.035
33058070M,Marta,Romero García,Marta Romero García,Sí,Espanya,Madrid,11,5,1973,Dona,1996.515,No,Grup B,1973-05-11,53,0.035
41916963A,Marta,Romero,Marta Romero,Sí,Espanya,Sevilla,27,4,1976,Dona,1820.565,No,Grup B,1976-04-27,50,0.035
33287222R,Toni,Romero,Toni Romero,Sí,Espanya,València,19,1,1974,Home,1501.785,No,Grup B,1974-01-19,52,0.035
29151933K,Arnau,Romero Romero,Arnau Romero Romero,Sí,Espanya,València,8,10,1968,Home,1874.385,No,Grup B,1968-10-08,57,0.035
21050694P,Toni,Sánchez,Toni Sánchez,Sí,Espanya,Barcelona,1,1,1987,Home,1545.255,No,Grup B,1987-01-01,39,0.035
90216874S,Jordi,Ferrer,Jordi Ferrer,Sí,Espanya,Sevilla,12,7,2003,Home,1462.455,No,Grup B,2003-07-12,22,0.035
74017954Q,Anna,Sánchez,Anna Sánchez,Sí,Espanya,València,25,2,1981,Dona,1242.0,No,Grup B,1981-02-25,45,0.035
73563832M,Oriol,Ferrer Romero,Oriol Ferrer Romero,Sí,Espanya,Madrid,9,2,1985,Home,2038.95,No,Grup B,1985-02-09,41,0.035
86350703G,Sophie,Smith,Sophie Smith,No,Regne Unit,Manchester,8,1,1957,Dona,1297.89,Sí,Grup B,1957-01-08,69,0.035
37368317L,Lea,Schneider Schneider,Lea Schneider Schneider,No,Alemanya,Berlín,23,10,2005,Dona,2083.455,No,Grup B,2005-10-23,20,0.035
83710837G,José,González Ramírez,José González Ramírez,No,Mèxic,Ciutat de Mèxic,2,3,1955,Home,1735.695,No,Grup B,1955-03-02,71,0.035
69273831N,Sara,Gutiérrez,Sara Gutiérrez,No,Colòmbia,Bogotà,26,2,1970,Dona,1959.255,No,Grup B,1970-02-26,56,0.035
27292471C,Eva,García,Eva García,Sí,Espanya,Bilbao,18,10,1962,,2209.725,No,Grup B,1962-10-18,63,0.035
41171214L,Jordi,Romero García,Jordi Romero García,Sí,Espanya,Sevilla,6,8,2000,Home,2041.02,Sí,Grup B,2000-08-06,25,0.035
15594293F,Emily,Jones,Emily Jones,No,Regne Unit,Londres,15,11,1969,Dona,1318.59,No,Grup B,1969-11-15,56,0.035
51884150Q,Joan,Romero Sánchez,Joan Romero Sánchez,Sí,Espanya,Bilbao,24,7,1951,Home,1545.255,Sí,Grup B,1951-07-24,74,0.035
65118360Z,Joan,Romero Martínez,Joan Romero Martínez,Sí,Espanya,Bilbao,19,11,1954,Home,2164.185,No,Grup B,1954-11-19,71,0.035
21526488C,Joan,Sánchez,Joan Sánchez,Sí,Espanya,València,9,8,1997,Home,2383.605,Sí,Grup B,1997-08-09,28,0.035
49061102W,Mohamed,El Amrani Zahraoui,Mohamed El Amrani Zahraoui,No,Marroc,Casablanca,12,8,1984,Altres,1599.075,Sí,Grup B,1984-08-12,41,0.035
60287803J,Pau,Ferrer,Pau Ferrer,Sí,Espanya,Barcelona,15,3,1991,Home,1555.605,Sí,Grup B,1991-03-15,35,0.035
24315095T,Toni,Ferrer,Toni Ferrer,Sí,Espanya,Bilbao,24,2,1964,Altres,2214.9,No,Grup B,1964-02-24,62,0.035
14473175F,Oriol,Castells,Oriol Castells,Sí,Espanya,Bilbao,17,3,1965,Home,2299.77,No,Grup B,1965-03-17,61,0.035
56555741Z,Marco,Conti Rossi,Marco Conti Rossi,No,Itàlia,Roma,4,1,1986,Home,1500.75,No,Grup B,1986-01-04,40,0.035
21390098Z,Mia,Fischer,Mia Fischer,No,Alemanya,Berlín,11,8,1950,Dona,1611.495,Sí,Grup B,1950-08-11,75,0.035
14688639J,Toni,Castells Ferrer,Toni Castells Ferrer,Sí,Espanya,Barcelona,15,11,1974,,1904.4,No,Grup B,1974-11-15,51,0.035
56867791S,Marc,Castells Sánchez,Marc Castells Sánchez,Sí,Espanya,Barcelona,24,6,2000,Home,1446.93,No,Grup B,2000-06-24,26,0.035
80471691R,Laia,Sánchez,Laia Sánchez,Sí,Espanya,Sevilla,3,3,1982,Dona,1914.75,Sí,Grup B,1982-03-03,44,0.035
66854670R,George,Jones Taylor,George Jones Taylor,No,Regne Unit,Londres,27,5,2000,,2173.5,No,Grup B,2000-05-27,26,0.035
61862070S,Núria,Castells,Núria Castells,Sí,Espanya,València,25,12,1992,Dona,2093.805,Sí,Grup B,1992-12-25,33,0.035
91287275Z,Luisa,González Cruz,Luisa González Cruz,No,Mèxic,Ciutat de Mèxic,20,11,1990,Dona,1243.035,Sí,Grup B,1990-11-20,35,0.035
92774049Y,Oriol,Romero García,Oriol Romero García,Sí,Espanya,Barcelona,5,9,1972,Home,1512.135,No,Grup B,1972-09-05,53,0.035
93432185G,Oriol,Martínez,Oriol Martínez,Sí,Espanya,Sevilla,26,7,1957,Home,2361.87,No,Grup B,1957-07-26,68,0.035
20520614Y,Núria,Ferrer,Núria Ferrer,Sí,Espanya,Barcelona,9,6,1959,,2029.635,No,Grup B,1959-06-09,67,0.035
42280605C,Clara,García,Clara García,Sí,Espanya,Sevilla,16,10,1951,Dona,1479.015,Sí,Grup B,1951-10-16,74,0.035
66171387W,Valentina,Rojas,Valentina Rojas,No,Colòmbia,Bogotà,6,9,1959,Dona,1226.475,No,Grup B,1959-09-06,66,0.035
59071537P,Carla,Sánchez,Carla Sánchez,Sí,Espanya,Madrid,2,7,1990,Dona,1575.27,Sí,Grup B,1990-07-02,36,0.035
17102266H,Marta,Romero García,Marta Romero García,Sí,Espanya,València,3,4,1972,Altres,1397.25,Sí,Grup B,1972-04-03,54,0.035
21135917V,Valentina,Torres,Valentina Torres,No,Colòmbia,Bogotà,14,1,1968,Dona,2111.4,No,Grup B,1968-01-14,58,0.035
47660164G,Jordi,Romero Martínez,Jordi Romero Martínez,Sí,Espanya,Barcelona,11,6,1983,Home,2383.605,No,Grup B,1983-06-11,43,0.035
62152209S,Laia,García,Laia García,Sí,Espanya,Madrid,9,8,1991,Dona,1547.325,No,Grup B,1991-08-09,34,0.035
29753711H,Anna,Ferrer Castells,Anna Ferrer Castells,Sí,Espanya,Bilbao,18,8,1992,Dona,1363.095,Sí,Grup B,1992-08-18,33,0.035
57378189F,Toni,López,Toni López,Sí,Espanya,Madrid,12,10,1964,Home,1414.845,Sí,Grup B,1964-10-12,61,0.035
79676573H,Marta,Ferrer Sánchez,Marta Ferrer Sánchez,Sí,Espanya,València,18,3,1952,Dona,1344.465,Sí,Grup B,1952-03-18,74,0.035
96964440V,Marco,Russo,Marco Russo,No,Itàlia,Torí,13,7,1982,Home,2270.79,No,Grup B,1982-07-13,43,0.035
14889781M,Lucas,Álvarez Álvarez,Lucas Álvarez Álvarez,No,Argentina,Còrdova,17,5,1981,Home,1978.92,Sí,Grup B,1981-05-17,45,0.035
16129804M,Arnau,García,Arnau García,Sí,Espanya,València,11,2,1953,Home,1952.01,No,Grup B,1953-02-11,73,0.035
92922593Z,Arnau,López,Arnau López,Sí,Espanya,Madrid,4,4,1994,Altres,1866.105,No,Grup B,1994-04-04,32,0.035
89271483K,Camila,Ramírez González,Camila Ramírez González,No,Mèxic,Guadalajara,10,4,1965,Dona,1917.855,No,Grup B,1965-04-10,61,0.035
59372221S,Laia,Ferrer,Laia Ferrer,Sí,Espanya,Bilbao,22,5,1978,Dona,1260.63,No,Grup B,1978-05-22,48,0.035
61477292C,Marta,Romero,Marta Romero,Sí,Espanya,Bilbao,8,7,1978,Dona,1910.61,No,Grup B,1978-07-08,48,0.035
13998302S,Clara,Ferrer Martínez,Clara Ferrer Martínez,Sí,Espanya,Sevilla,24,5,1951,Dona,1828.845,No,Grup B,1951-05-24,75,0.035
72888019J,María,González Hernández,María González Hernández,No,Mèxic,Ciutat de Mèxic,14,7,1965,Dona,1671.525,No,Grup B,1965-07-14,60,0.035
99123197C,Marc,Sánchez Castells,Marc Sánchez Castells,Sí,Espanya,Sevilla,21,3,1980,Home,1323.765,No,Grup B,1980-03-21,46,0.035
37655961A,Núria,García,Núria García,Sí,Espanya,Barcelona,2,5,1989,Dona,1683.945,Sí,Grup B,1989-05-02,37,0.035
50292113M,Laia,López,Laia López,Sí,Espanya,Madrid,21,4,1984,Dona,1220.265,Sí,Grup B,1984-04-21,42,0.035
68186758D,Carla,García,Carla García,Sí,Espanya,Barcelona,6,10,2001,Dona,2030.67,Sí,Grup B,2001-10-06,24,0.035
10882370B,Núria,Romero Martínez,Núria Romero Martínez,Sí,Espanya,València,16,3,2004,Dona,1426.23,Sí,Grup B,2004-03-16,22,0.035
89173930Q,Sophie,Moreau Lefevre,Sophie Moreau Lefevre,No,França,Marsella,11,1,1995,Dona,1802.97,Sí,Grup B,1995-01-11,31,0.035
50829502T,Núria,Ferrer Romero,Núria Ferrer Romero,Sí,Espanya,Sevilla,16,3,1989,Dona,1300.995,No,Grup B,1989-03-16,37,0.035
53457611N,Arnau,López López,Arnau López López,Sí,Espanya,Bilbao,6,6,1991,Home,1430.37,No,Grup B,1991-06-06,35,0.035
59779704A,Clara,Romero López,Clara Romero López,Sí,Espanya,Barcelona,8,12,1985,Dona,1433.475,Sí,Grup B,1985-12-08,40,0.035
35566470L,Carla,López Sánchez,Carla López Sánchez,Sí,Espanya,Bilbao,11,10,1961,Dona,1682.91,Sí,Grup B,1961-10-11,64,0.035
93122931K,Toni,Ferrer,Toni Ferrer,Sí,Espanya,Bilbao,5,9,1957,Home,1464.525,No,Grup B,1957-09-05,68,0.035
63960462M,Anna,Castells Martínez,Anna Castells Martínez,Sí,Espanya,Bilbao,6,3,1959,Dona,1615.635,Sí,Grup B,1959-03-06,67,0.035
43756083N,Mia,Fischer,Mia Fischer,No,Alemanya,Munic,8,9,1953,Dona,1724.31,No,Grup B,1953-09-08,72,0.035
28171073A,Núria,Martínez Romero,Núria Martínez Romero,Sí,Espanya,Bilbao,9,7,1965,Dona,1675.665,Sí,Grup B,1965-07-09,61,0.035
17164182B,Sara,Torres Castro,Sara Torres Castro,No,Colòmbia,Medellín,25,2,1992,Dona,1380.69,Sí,Grup B,1992-02-25,34,0.035
10352133N,Marco,Conti Russo,Marco Conti Russo,No,Itàlia,Torí,28,1,2005,Home,2072.07,No,Grup B,2005-01-28,21,0.035
94310395L,Ali,Bennani,Ali Bennani,No,Marroc,Casablanca,22,3,1980,Home,2235.6,Sí,Grup B,1980-03-22,46,0.035
13299063V,Marc,Ferrer García,Marc Ferrer García,Sí,Espanya,València,21,4,1996,Home,1674.63,No,Grup B,1996-04-21,30,0.035
67537453P,Joan,Romero Martínez,Joan Romero Martínez,Sí,Espanya,Bilbao,24,12,1985,Home,1825.74,No,Grup B,1985-12-24,40,0.035
97299170Q,Marta,Romero Ferrer,Marta Romero Ferrer,Sí,Espanya,Barcelona,7,2,1962,Dona,1382.76,Sí,Grup B,1962-02-07,64,0.035
98511923W,Carla,Castells Castells,Carla Castells Castells,Sí,Espanya,Sevilla,22,6,1979,Dona,1909.575,No,Grup B,1979-06-22,47,0.035
50115394L,Arnau,Martínez,Arnau Martínez,Sí,Espanya,Bilbao,25,4,1959,Home,1420.02,Sí,Grup B,1959-04-25,67,0.035
15838881W,Marta,Romero,Marta Romero,Sí,Espanya,Sevilla,26,10,2002,Dona,1336.185,Sí,Grup B,2002-10-26,23,0.035
88164399Q,Camille,Girard Lefevre,Camille Girard Lefevre,No,França,París,26,1,2001,Dona,1574.235,Sí,Grup B,2001-01-26,25,0.035
83561180C,Carla,López,Carla López,Sí,Espanya,Bilbao,7,7,2003,Dona,1821.6,Sí,Grup B,2003-07-07,22,0.035
80116589E,Toni,Castells Romero,Toni Castells Romero,Sí,Espanya,València,26,8,1988,Home,1337.22,Sí,Grup B,1988-08-26,37,0.035
70945038M,Leon,Schneider,Leon Schneider,No,Alemanya,Munic,5,5,1981,Home,1730.52,No,Grup B,1981-05-05,45,0.035
66590677S,Marta,García,Marta García,Sí,Espanya,Bilbao,19,8,1950,Dona,1481.085,No,Grup B,1950-08-19,75,0.035
67472696R,Francesca,Ferrari Ferrari,Francesca Ferrari Ferrari,No,Itàlia,Torí,21,4,1990,,1362.06,No,Grup B,1990-04-21,36,0.035
79349076S,Núria,Martínez Ferrer,Núria Martínez Ferrer,Sí,Espanya,Barcelona,7,11,1991,Dona,1558.71,No,Grup B,1991-11-07,34,0.035
50085415G,Joan,García,Joan García,Sí,Espanya,Madrid,22,10,2000,Home,2139.345,No,Grup B,2000-10-22,25,0.035
88571285P,Oriol,Castells,Oriol Castells,Sí,Espanya,Bilbao,13,4,1972,Home,1647.72,Sí,Grup B,1972-04-13,54,0.035
53588164S,Jordi,Ferrer López,Jordi Ferrer López,Sí,Espanya,Madrid,13,9,1955,Home,1750.185,Sí,Grup B,1955-09-13,70,0.035
29092175V,Marc,López Sánchez,Marc López Sánchez,Sí,Espanya,Sevilla,11,4,1968,Home,1361.025,No,Grup B,1968-04-11,58,0.035
97241617V,Marta,López Sánchez,Marta López Sánchez,Sí,Espanya,Madrid,17,5,1992,Dona,1936.485,Sí,Grup B,1992-05-17,34,0.035
44603694F,Toni,Castells,Toni Castells,Sí,Espanya,València,4,9,1964,Home,1342.395,No,Grup B,1964-09-04,61,0.035
50351415W,Núria,Ferrer,Núria Ferrer,Sí,Espanya,Barcelona,19,9,2001,Dona,1187.145,Sí,Grup B,2001-09-19,24,0.035
83461359C,Marc,Romero,Marc Romero,Sí,Espanya,Madrid,2,8,1984,Home,1692.225,No,Grup B,1984-08-02,41,0.035
63487190Q,Laia,Castells López,Laia Castells López,Sí,Espanya,Barcelona,15,11,1969,Dona,1533.87,No,Grup B,1969-11-15,56,0.035
89757860E,Eva,Castells Martínez,Eva Castells Martínez,Sí,Espanya,Barcelona,15,7,1996,Dona,1417.95,Sí,Grup B,1996-07-15,29,0.035
60982309S,Lukas,Müller Fischer,Lukas Müller Fischer,No,Alemanya,Hamburg,28,3,1971,Home,2113.47,No,Grup B,1971-03-28,55,0.035
49562152B,Marta,Ferrer,Marta Ferrer,Sí,Espanya,Madrid,25,5,1976,Dona,1989.27,No,Grup B,1976-05-25,50,0.035
32909990R,Laia,Romero,Laia Romero,Sí,Espanya,Sevilla,18,5,1960,Dona,1401.39,No,Grup B,1960-05-18,66,0.035
44724403H,Toni,Ferrer,Toni Ferrer,Sí,Espanya,Bilbao,20,2,1980,Home,1504.89,No,Grup B,1980-02-20,46,0.035
54525691Y,Laia,García Ferrer,Laia García Ferrer,Sí,Espanya,Bilbao,19,1,1970,Dona,1826.775,No,Grup B,1970-01-19,56,0.035
74821823F,Beatriz,Oliveira Ferreira,Beatriz Oliveira Ferreira,No,Portugal,Lisboa,5,9,1985,Dona,1602.18,Sí,Grup B,1985-09-05,40,0.035
41974885N,Arnau,Ferrer Romero,Arnau Ferrer Romero,Sí,Espanya,València,13,7,1958,Home,1848.51,Sí,Grup B,1958-07-13,68,0.035
78223675H,Santiago,Gutiérrez Torres,Santiago Gutiérrez Torres,No,Colòmbia,Medellín,4,12,1959,Home,2316.33,Sí,Grup B,1959-12-04,66,0.035
64394445D,Gabriela,Ramírez,Gabriela Ramírez,No,Mèxic,Ciutat de Mèxic,19,2,1990,Dona,1623.915,Sí,Grup B,1990-02-19,36,0.035
18457673C,Carla,Martínez,Carla Martínez,Sí,Espanya,València,17,4,1999,Dona,1325.835,No,Grup B,1999-04-17,27,0.035
33585026G,Youssef,El Amrani Fassi,Youssef El Amrani Fassi,No,Marroc,Rabat,13,10,1981,Home,1847.475,No,Grup B,1981-10-13,44,0.035
90216535S,Martina,Rodríguez Gómez,Martina Rodríguez Gómez,No,Argentina,Buenos Aires,10,3,1978,Dona,1337.22,Sí,Grup B,1978-03-10,48,0.035
74822167B,Antoine,Lefevre,Antoine Lefevre,No,França,Marsella,1,10,1953,Home,1806.075,No,Grup B,1953-10-01,72,0.035
23955973V,Eva,Ferrer Romero,Eva Ferrer Romero,Sí,Espanya,Bilbao,19,5,1976,Dona,1461.42,No,Grup B,1976-05-19,50,0.035
72168409M,Lucas,Fernández Álvarez,Lucas Fernández Álvarez,No,Argentina,Còrdova,27,4,1993,Home,2061.72,Sí,Grup B,1993-04-27,33,0.035
44215821L,Julieta,Rodríguez,Julieta Rodríguez,No,Argentina,Buenos Aires,24,7,1979,Dona,1222.335,No,Grup B,1979-07-24,46,0.035
23058334Y,Jordi,Ferrer,Jordi Ferrer,Sí,Espanya,Sevilla,5,3,1993,Home,1710.855,Sí,Grup B,1993-03-05,33,0.035
25439397A,Pau,Ferrer García,Pau Ferrer García,Sí,Espanya,Barcelona,21,3,1982,Home,1314.45,No,Grup B,1982-03-21,44,0.035
89577876S,Emily,Taylor Jones,Emily Taylor Jones,No,Regne Unit,Manchester,28,3,1958,Dona,2104.155,No,Grup B,1958-03-28,68,0.035
76782023V,Anna,Castells García,Anna Castells García,Sí,Espanya,Bilbao,26,3,1950,Dona,1516.275,Sí,Grup B,1950-03-26,76,0.035
87154578D,Toni,Martínez,Toni Martínez,Sí,Espanya,Bilbao,5,7,1973,Home,1700.505,Sí,Grup B,1973-07-05,53,0.035
19721783S,Núria,Ferrer,Núria Ferrer,Sí,Espanya,Barcelona,7,12,1983,Dona,2032.74,No,Grup B,1983-12-07,42,0.035
87257820C,Marta,García,Marta García,Sí,Espanya,València,14,5,1976,Dona,1637.37,No,Grup B,1976-05-14,50,0.035
62035858J,Sara,Castro,Sara Castro,No,Colòmbia,Bogotà,4,12,1974,Dona,1577.34,Sí,Grup B,1974-12-04,51,0.035
97143963K,Chiara,Russo Conti,Chiara Russo Conti,No,Itàlia,Roma,6,11,1985,Altres,1491.435,Sí,Grup B,1985-11-06,40,0.035
39929911E,Eva,Castells Romero,Eva Castells Romero,Sí,Espanya,Madrid,24,1,1958,Altres,1974.78,No,Grup B,1958-01-24,68,0.035
36717144Q,Jordi,Romero,Jordi Romero,Sí,Espanya,Bilbao,17,11,1969,Home,1405.53,No,Grup B,1969-11-17,56,0.035
44505750Y,Gabriela,Ramírez González,Gabriela Ramírez González,No,Mèxic,Ciutat de Mèxic,26,3,1988,Dona,1262.7,No,Grup B,1988-03-26,38,0.035
89141927S,Eva,Ferrer Ferrer,Eva Ferrer Ferrer,Sí,Espanya,València,24,12,1979,Dona,1642.545,No,Grup B,1979-12-24,46,0.035
15336274M,Laia,López Sánchez,Laia López Sánchez,Sí,Espanya,Barcelona,11,5,1964,Dona,2163.15,No,Grup B,1964-05-11,62,0.035
11062448Q,Marta,Martínez,Marta Martínez,Sí,Espanya,Barcelona,4,7,1980,Dona,1718.1,Sí,Grup B,1980-07-04,46,0.035
31675368R,Eva,López Martínez,Eva López Martínez,Sí,Espanya,Bilbao,27,7,1998,Dona,1380.69,No,Grup B,1998-07-27,27,0.035
89450981Z,Laia,Castells,Laia Castells,Sí,Espanya,Bilbao,20,11,2000,Dona,1757.43,Sí,Grup B,2000-11-20,25,0.035
54853635H,Laia,Castells Ferrer,Laia Castells Ferrer,Sí,Espanya,Sevilla,23,6,1986,Dona,1219.23,Sí,Grup B,1986-06-23,40,0.035
